,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g),"Folate, DFE (µg)",20:3 undifferentiated (g),20:4 n-6 (g),"Vitamin E, added (mg)",22:6 n-3 (DHA) (g),Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
279,"""21152""","SUBWAY, SUBWAY CLUB sub on white bread with lettuce and tomato",207.0,6.0 inch sub,1.18,1.747,2.61,6.6,0.573,,0.0,0.010,,0.139,0.50,,,,,0.6,0.048,0.019,0.0,,,0.010,,0.006,2.9,0.000,116,,,,,,,0,,,,,,9.329,0.168,0.014,0.317,0.143,2.73,0.004,,0.008,,,,,,,1263,0.050,0.031,,,,0.014,133.93,0,0.87,,317.0,0.002,60,0.008,0.497,0.002,0.41,1.273,,4,0.002,0.460,0.012,3.85,0.25,0.002,,,,0.062,720.0,0.0,0.00,0.006,,1.54,549.0,,,,,0.014,,0.00,101.0,302.0,0.002,,,,,,,,,,,,,,,,,,,42.15,0.000,,0.0,,1.128,1.519,,0.921,,,,,,,1.176,,,0.008,0.029,0.064,,,,0.0,,,0.0,0.006
280,"""21150""","SUBWAY, sweet onion chicken teriyaki sub on white bread with lettuce, tomato and sweet onion sauce",228.0,6.0 inch sub,1.151,1.895,5.45,13.82,0.622,,0.0,0.018,,0.139,0.87,,,,,0.73,0.014,0.032,0.0,,,0.005,,0.007,2.7,0.000,198,,,,,,,0,,,,,,11.544,0.162,0.005,0.242,0.144,5.08,0.002,,0.011,,,,,,,1480,0.014,0.016,,,,0.014,142.27,0,1.05,,324.0,0.000,75,0.005,0.486,0.002,0.25,1.464,,7,0.002,0.643,0.011,4.06,0.30,0.025,,,,0.109,695.0,0.0,0.00,0.007,,1.651,650.0,,,,,0.014,,1.80,128.0,353.0,0.005,,,,,,,,,,,,,,,,,,,51.39,0.000,,0.0,,1.270,1.635,,1.493,,,,,,,1.286,,,0.011,0.050,0.027,,,,0.0,,,0.0,0.002
281,"""21214""","SUBWAY, tuna sub on white bread with lettuce and tomato",237.0,6.0 inch sub,5.195,16.346,2.61,4.57,0.450,2.135,0.007,,,1.744,3.72,1.221,1.728,0.007,,0.57,0.026,0.109,0.0,5.769,2.287,0.019,,0.014,1.7,0.000,121,,,,,,,21,,,0.0,29.22,339,18.313,0.178,0.040,1.526,1.825,1.11,0.005,,0.002,,,,1.043,0.081,0.88,2197,0.033,0.090,,,,0.076,137.86,2,16.73,1.168,322.0,0.007,69,0.019,0.514,0.059,2.51,6.719,,26,0.014,0.642,0.092,3.58,5.57,0.007,,,,0.083,780.0,0.012,0.00,0.009,,14.075,419.0,38.2,2.287,28.53,0.088,0.076,,0.00,185.0,524.0,0.000,0.28,29.39,66,0.813,0.092,92.9,,,,1.296,3.242,258.0,,,,,,,37.8,0.000,,0.0,,6.463,13.988,,0.829,1.424,,0.019,,,,6.491,1.626,,0.002,0.052,0.109,,,,0.0,0.711,0.005,0.0,0.012
282,"""21207""","SUBWAY, turkey breast sub on white bread with lettuce and tomato",184.0,6.0 inch sub,0.876,1.908,2.36,5.69,0.497,,0.0,0.015,,0.155,0.52,,,,,0.68,0.015,0.020,0.0,,,0.004,,0.006,2.4,0.000,132,,,,,,,0,,,,,,8.495,0.138,0.007,0.197,0.162,2.17,0.002,,0.004,,,,,,,1132,0.015,0.013,,,,0.018,118.37,0,1.03,,311.0,0.000,52,0.006,0.418,0.002,0.22,0.959,,4,0.002,0.324,0.011,3.35,0.35,0.002,,,,0.037,583.0,0.0,0.00,0.004,,1.691,466.0,,,,,0.018,,0.00,86.0,270.0,0.002,,,,,,,,,,,,,,,,,,,41.25,0.000,,0.0,,0.880,1.671,,0.782,,,,,,,0.894,,,0.004,0.026,0.033,,,,0.0,,,0.0,0.002
283,"""21264""","TACO BELL, Bean Burrito",185.0,1.0 each burrito,4.272,4.124,0.93,3.2,0.351,1.114,0.044,0.006,46,0.62,0.93,0.722,0.866,0.002,,0.0,0.120,0.063,0.0,3.336,1.276,0.011,,0.004,7.8,0.000,,,,,,,,,,,,,,3.737,0.303,0.030,1.741,0.622,0.74,0.02,126,0.006,,,,0.551,0.002,0.80,1615,0.131,0.285,,,,0.065,98.36,0,3.29,0.518,229.0,0.011,74,0.033,0.185,0.007,0.30,2.327,7.8,6,0.081,0.185,0.030,4.07,0.98,0.002,,,,0.046,1042.0,0.061,0.00,0.004,,3.465,483.0,,1.106,11.19,0.056,0.065,,0.74,124.0,387.0,0.002,0.166,39.92,9,0.453,0.033,19.2,46,0.844,92,0.577,1.813,302.0,,,,,,,57.78,0.000,,0.0,,2.052,3.378,,0.311,0.675,,0.068,,,,2.172,0.389,9.4,0.006,0.009,0.196,,,,0.0,0.213,0.030,0.0,0.022
284,"""21265""","TACO BELL, BURRITO SUPREME with beef",241.0,1.0 burrito,6.587,3.796,1.45,5.06,0.513,1.142,0.065,0.005,29,0.487,0.67,0.711,0.711,0.000,,0.07,0.287,0.043,0.0,3.557,1.207,0.046,,0.005,8.9,0.000,186,,,,,,,108,,,0.217,16.94,386,5.037,0.255,0.084,2.326,0.504,1.21,0.077,164,0.010,,,,0.453,0.017,1.21,1844,0.304,0.533,,,,0.06,146.77,53,1.88,0.776,217.0,0.017,152,0.067,0.537,0.005,0.65,4.345,13.0,125,0.125,0.234,0.029,4.55,0.92,0.000,,,,0.186,1087.0,0.087,0.00,0.005,,3.241,492.0,,1.595,16.39,0.202,0.06,,0.41,668.0,441.0,0.000,0.152,34.95,29,0.366,0.039,25.8,80,0.718,108,0.646,3.063,316.0,,,,,,,56.32,0.000,,5.0,,3.692,3.145,,0.831,0.776,,0.113,,,,3.979,0.388,9.6,0.010,0.022,0.364,,,,0.0,0.258,0.041,0.8,0.039
285,"""21266""","TACO BELL, BURRITO SUPREME with chicken",248.0,1.0 item,5.833,1.972,1.36,,,,,,,,,,1.555,,,0.0,,0.037,0.0,4.576,2.078,,,0.000,6.0,,,,,,,,,,,,,,,9.672,0.248,0.050,1.753,0.236,1.81,0.05,159,0.000,,,,0.925,,0.37,1860,,0.570,,,,,,,3.03,0.851,233.0,,,,0.424,0.000,0.82,6.349,13.1,10,0.161,0.312,0.005,5.51,1.04,0.000,,,,,,,,,,1.699,655.0,,1.391,15.92,0.198,,,,203.0,444.0,,0.273,37.45,52,0.702,0.042,23.8,57,0.670,119,0.95,2.988,404.0,,,,,,,50.86,,,0.0,,,,,,1.173,,0.141,,,,6.064,0.702,9.4,,,,,,,0.02,0.441,0.067,0.37,
286,"""21267""","TACO BELL, BURRITO SUPREME with steak",248.0,1.0 item,6.632,1.910,1.76,,,,,,,,,,1.528,,,0.0,,0.050,0.0,4.700,2.026,,,0.000,6.0,,,,,,,,,,,,,,,5.58,0.285,0.079,1.996,0.216,0.42,0.067,134,0.000,,,,0.925,,0.42,1902,,0.675,,,,,,,2.85,0.940,250.0,,,,0.454,0.000,1.49,6.999,14.9,10,0.174,0.250,0.000,5.11,1.04,0.000,,,,,,,,,,1.667,565.0,,1.453,18.03,0.223,,,,179.0,454.0,,0.268,37.08,52,0.677,0.025,25.0,55,0.680,97,0.925,3.385,325.0,,,,,,,50.39,,,0.0,,,,,,1.148,,0.154,,,,6.659,0.615,10.9,,,,,,,0.05,0.409,0.067,0.37,
287,"""21268""","TACO BELL, Nachos",80.0,1.0 serving,1.738,4.032,0.00,1.74,0.098,0.417,0.006,0.000,8,0.494,3.26,0.183,0.125,0.009,,0.34,0.026,0.225,0.0,0.733,0.275,0.013,,0.009,2.6,0.000,7,,,,,,,4,,,0.0,3.46,1,0.504,0.051,0.011,0.395,0.519,0.00,0.004,,0.000,,,,0.125,0.026,0.00,1173,0.027,0.054,,,,0.019,29.92,2,5.17,0.117,50.0,0.002,2,0.008,0.106,0.000,0.06,11.216,6.0,4,0.015,0.172,0.054,1.5,0.18,0.009,,,,0.044,250.0,0.009,0.00,,,3.498,290.0,,0.425,17.2,0.046,0.019,,0.42,17.0,280.0,0.000,0.034,22.66,2,0.108,0.103,6.9,,,,0.15,1.029,158.0,,,,,,,27.93,0.000,,0.0,,10.895,3.474,,0.304,0.166,,0.015,,,,10.92,0.108,45.1,0.000,0.006,0.046,,,,,,,1.3,0.004
288,"""21269""","TACO BELL, Nachos Supreme",222.0,1.0 serving,5.659,5.541,0.60,3.62,0.162,1.201,0.033,0.004,31,0.699,3.88,0.633,0.764,0.009,,0.38,0.295,0.249,0.0,2.338,1.310,0.062,,0.011,8.2,0.000,102,,,,,,,80,,,0.2,13.79,559,2.242,0.231,0.091,1.607,0.726,0.51,0.067,,0.009,,,,0.480,0.027,0.00,2069,0.311,0.386,,,,0.06,129.09,42,6.57,0.722,104.0,0.018,142,0.053,0.304,0.002,0.69,14.787,14.2,93,0.073,0.351,0.067,3.91,0.53,0.009,,,,0.226,773.0,0.047,0.00,0.007,,4.755,662.0,,1.134,27.71,0.242,0.06,,0.60,537.0,495.0,0.000,0.131,33.23,31,0.371,0.122,18.0,,,,0.611,3.048,340.0,,,,,,,47.49,0.000,,2.0,,13.864,4.658,,0.733,0.786,,0.064,,,,14.159,0.415,46.8,0.009,0.024,0.371,,,,,,,1.93,0.038
289,"""21260""","TACO BELL, Original Taco with beef, cheese and lettuce",69.0,1.0 each taco,3.025,2.099,0.21,0.62,0.035,,0.023,0.003,12,0.115,0.41,,,,,0.0,0.264,0.032,0.001,,,0.038,,0.003,2.7,0.001,,,,,,,,,,,,,,1.138,0.053,0.063,0.8,0.116,0.14,0.041,14,0.008,,,,,,,662,0.282,0.268,,,,0.04,39.34,0,1.49,,61.0,0.019,32,0.036,0.041,0.003,0.64,3.044,10.6,3,0.046,0.062,0.010,1.08,0.77,0.001,,,,0.141,274.0,0.031,0.00,0.004,,1.945,144.0,,,,,0.04,,0.28,53.0,158.0,0.001,,,,,,,1,0.172,13,,,,,,,,,,13.7,0.000,,0.0,,2.507,1.869,,,,,,,,,2.771,,4.6,0.008,0.014,0.322,,,,,,,0.0,0.037
290,"""21261""","TACO BELL, Soft Taco with beef, cheese and lettuce",102.0,1.0 each taco,4.238,1.610,0.61,1.6,0.184,0.735,0.036,0.005,24,0.16,0.41,0.427,0.636,0.002,,0.0,0.338,0.037,0.0,2.170,0.781,0.047,,0.004,3.0,0.001,,,,,,,,,,,,,,2.938,0.068,0.080,1.404,0.162,0.48,0.053,72,0.010,,,,0.376,0.002,0.38,877,0.361,0.373,,,,0.05,59.96,0,0.93,0.529,125.0,0.024,49,0.049,0.133,0.010,0.86,3.308,11.4,4,0.069,0.061,0.013,2.03,0.46,0.002,,,,0.176,571.0,0.047,0.00,0.005,,1.392,164.0,,0.735,9.95,0.200,0.05,,0.13,81.0,210.0,0.001,0.107,14.06,26,0.306,0.018,11.2,29,0.316,53,0.385,2.059,170.0,,,,,,,20.63,0.000,,0.0,,2.630,1.298,,0.210,0.499,,0.058,,,,2.967,0.265,4.9,0.009,0.018,0.411,,,,,,,0.0,0.044
291,"""21262""","TACO BELL, Soft Taco with chicken, cheese and lettuce",98.0,1.0 each taco,2.508,1.575,0.52,1.27,0.157,1.052,0.032,0.008,18,0.15,0.34,0.577,0.977,0.001,,0.0,0.075,0.025,0.0,2.667,1.167,0.007,,0.005,1.2,0.000,,,,,,,,,,,,,,5.067,0.059,0.019,0.817,0.154,0.36,0.018,68,0.010,,,,0.557,0.004,0.39,775,0.084,0.216,,,,0.026,57.25,0,0.96,0.502,120.0,0.008,15,0.025,0.108,0.008,0.12,1.589,8.5,1,0.062,0.108,0.012,2.21,0.46,0.001,,,,0.104,601.0,0.043,0.00,0.004,,1.358,213.0,,0.788,6.22,0.113,0.026,,0.00,24.0,185.0,0.001,0.15,13.65,28,0.433,0.014,12.4,29,0.240,47,0.584,1.186,239.0,,,,,,,19.3,0.000,,0.0,,1.349,1.316,,0.732,0.706,,0.052,,,,1.425,0.442,4.3,0.010,0.025,0.111,,,,0.0,0.309,0.023,0.0,0.015
292,"""21263""","TACO BELL, Soft Taco with steak",127.0,1.0 item,4.279,4.426,0.80,,,,,,,,,,1.035,,,0.0,,0.038,0.0,3.047,1.340,,,0.000,2.0,,,,,,,,,,,,,,,3.778,0.144,0.051,1.26,0.470,0.28,0.038,66,0.000,,,,0.638,,0.22,1195,,0.318,,,,,,,3.84,0.584,149.0,,,,0.246,0.000,1.22,5.0,26.4,1,0.072,0.108,0.022,2.6,2.15,0.000,,,,,,,,,,3.931,232.0,,0.965,15.37,0.155,,,,29.0,286.0,,0.184,16.83,39,0.493,0.038,16.6,28,0.279,47,0.635,2.384,197.0,,,,,,,21.87,,,0.0,,,,,,0.785,,0.066,,,,4.769,0.413,5.3,,,,,,,0.0,0.320,0.028,0.19,
293,"""21270""","TACO BELL, Taco Salad",533.0,1.0 item,15.878,4.008,3.36,,,,,,,,,,2.351,,,0.0,,0.080,0.0,7.121,3.470,,,0.000,16.0,,,,,,,,,,,,,,,8.022,0.805,0.240,4.941,0.522,1.39,0.16,288,0.000,,,,1.418,,0.80,3784,,1.396,,,,,,,6.56,1.631,506.0,,,,0.565,0.000,2.13,21.171,57.0,16,0.32,0.549,0.053,9.11,3.09,0.000,,,,,,,,,,3.491,1221.0,,2.521,48.88,0.613,,,,330.0,906.0,,0.458,51.86,101,1.162,0.091,38.4,85,1.364,229,1.428,8.246,549.0,,,,,,,80.48,,,0.0,,,,,,1.844,,0.293,,,,20.318,0.959,53.3,,,,,,,0.27,0.640,0.133,0.8,
294,"""21508""","WEND'YS, Crispy Chicken Sandwich",126.0,1.0 sandwich,3.328,8.359,1.80,3.94,,,0.0,0.009,,0.76,,,,,,,,,0.0,,,,,0.010,,,,,,,,,,,,,,,,,,,0.845,0.800,1.47,0.004,,0.011,,,,,,,1464,0.026,0.039,,,,0.066,57.86,,,,,0.000,,0.005,,,,4.023,,,0.004,,0.044,2.6,,0.001,,,,0.154,713.0,0.001,0.00,0.004,,7.487,233.0,,,,,0.066,,0.00,,,,,,,,,,,,,,,,,,,,,,33.21,0.000,,,,,7.402,,,,,,,,,3.791,,,0.011,0.035,0.092,,,,,,,0.0,0.020
295,"""21246""","WENDY'S, Chicken Nuggets",68.0,5.0 pieces,3.255,6.880,0.00,0.05,0.054,,0.0,0.012,,0.52,,,,,,,,,0.0,,,0.009,,0.012,,,,,,,,,,,,,,,,4.109,0.041,0.016,0.755,0.550,0.00,0.008,,0.012,,,,,,,928,0.032,0.048,,,,0.078,30.02,,,,,0.001,,0.006,0.083,0.001,0.22,4.174,5.4,,0.004,0.173,0.033,1.71,,0.003,,,,0.242,481.0,0.002,0.00,0.004,,6.246,170.0,,,,,0.078,,0.00,,,,,,,,,,,,,,,,,,,,,,9.73,0.000,,,,,6.149,,0.615,,,,,,,3.839,,11.6,0.012,0.038,0.109,,,,,,,0.0,0.020
296,"""21243""","WENDY'S, CLASSIC DOUBLE, with cheese",310.0,1.0 item,18.259,4.030,1.92,,,,,,,,,,3.131,,,,,,0.0,7.564,3.813,,,0.000,3.4,,,,,,,,,,,,,,,10.912,0.233,0.496,5.425,0.465,1.46,0.341,,0.031,,,,1.767,,0.47,3122,,1.550,,,,,,,,,,,,,0.778,0.000,5.95,17.794,21.4,,0.186,0.586,0.000,5.36,,0.000,,,,,,,,,,3.224,663.0,,2.79,44.02,1.519,,,,,,,0.496,26.66,158,1.085,0.062,61.7,,,,1.829,10.044,415.0,,,,,,,36.3,,,,,,,,,2.511,,0.155,,,,15.779,1.178,0.0,,,,,,,,,,0.47,
297,"""21239""","WENDY'S, CLASSIC SINGLE Hamburger, no cheese",218.0,1.0 item,8.042,3.379,2.88,,,,,,,,,,1.676,,,,,,0.0,4.676,2.173,,,0.000,2.8,,,,,,,,,,,,,,,7.031,0.303,0.229,2.54,0.375,2.49,0.163,,0.000,,,,1.001,,0.48,1945,,0.534,,,,,,,,,,,,,0.447,0.000,3.16,8.888,19.6,,0.0,0.249,,3.36,,0.022,,,,,,,,,,2.851,425.0,,1.644,23.11,0.719,,,,,,,0.29,25.11,76,0.547,0.033,39.7,,,,1.001,4.6,225.0,,,,,,,36.67,,,,,,,,,1.452,,0.000,,,,7.896,0.656,0.0,,,,,,,,,,0.0,
298,"""21240""","WENDY'S, CLASSIC SINGLE Hamburger, with cheese",236.0,1.0 item,12.251,3.316,2.57,,,,0.168,,,0.38,,1.109,1.841,,,,,,0.0,5.192,2.313,0.085,,0.000,3.3,,,,,,,,,,,,,,,7.528,0.177,0.267,3.424,0.380,1.94,0.21,,0.000,0.045,,0.000,1.062,,0.68,2178,,0.989,,,,,,,,,,0.076,,0.135,0.604,0.000,3.63,10.401,21.9,,0.191,0.250,0.014,4.32,,0.012,,,,0.852,1123.0,0.288,,,,2.82,441.0,,1.864,27.38,0.927,,,,,,,0.283,23.36,90,0.637,0.047,45.1,,,,1.109,6.417,297.0,,,,,,,33.51,,,,,,2.697,,0.687,1.487,,0.172,,,,9.095,0.732,0.0,0.000,0.045,,,,,,,,0.5,
299,"""21510""","WENDY'S, DAVE'S Hot 'N Juicy 1/4 LB, single",215.0,1.0 sandwich,12.354,5.087,4.51,9.68,0.381,2.227,0.129,0.015,,0.516,1.23,1.200,2.159,0.015,,0.0,1.101,0.105,0.0,6.024,2.111,0.178,,0.011,2.4,0.006,88,,,,,,,95,,,0.419,29.43,447,6.757,0.174,0.262,3.283,0.542,3.50,0.217,,0.039,,,,1.120,0.026,0.86,2410,1.185,1.215,,,,0.166,109.48,4,3.89,1.778,157.0,0.084,138,0.161,0.553,0.006,2.00,11.507,,108,0.241,0.400,0.032,4.0,1.63,0.015,,,,0.634,1017.0,0.166,0.00,0.015,,4.397,447.0,37.0,2.838,33.97,0.720,0.166,,0.00,550.0,576.0,0.002,0.312,27.15,110,0.888,0.049,35.5,,,,1.062,6.487,269.0,,,,,,,38.12,0.000,,0.0,,9.168,4.087,,1.623,1.615,,0.215,,,,10.268,0.774,,0.032,0.062,1.350,,,,0.02,0.634,0.092,0.8,0.144
300,"""21507""","WENDY'S, Double Stack, with cheese",146.0,1.0 sandwich,10.002,1.845,2.38,5.65,,,0.051,0.015,,0.136,,,,,,,,,0.0,,,0.194,,0.009,,,,,,,,,,,,,,,,,,,3.008,0.143,2.19,0.201,,0.032,,,,,,,1740,1.191,0.867,,,,0.15,69.47,,,,,0.076,,0.13,,,,10.611,,,0.109,,0.013,2.83,,0.031,,,,0.644,696.0,0.069,0.00,0.015,,1.575,377.0,,,,,0.15,,0.00,,,,,,,,,,,,,,,,,,,,,,22.41,0.000,,,,,1.291,,,,,,,,,9.373,,,0.029,0.054,1.342,,,,,,,0.48,0.134
301,"""21247""","WENDY'S, french fries",71.0,1.0 kid's meal Serving,1.981,5.294,0.00,0.28,0.111,,0.0,,,0.454,1.42,,,,,0.0,0.012,0.023,0.0,,,0.005,,0.004,2.8,0.001,,,,,,,,,,,,,,2.135,0.113,0.010,0.479,0.477,0.28,0.0,,0.001,,,,,,,893,0.013,0.023,,,,0.031,28.84,,5.28,,11.0,0.000,,0.003,0.038,0.001,,2.268,4.5,,0.002,0.275,0.026,1.3,1.69,0.002,,,,0.018,155.0,0.097,0.00,,,4.807,444.0,0.3,,,,0.031,,0.00,,,,,,,,,,,,,,,,,,,,,,28.21,0.001,,,,,4.763,,0.447,,,,,,,2.218,,15.3,0.000,0.004,0.044,,,,0.01,,0.023,0.0,0.013
302,"""21248""","WENDY'S, Frosty Dairy Dessert",113.0,1.0 junior 6 oz. cup,1.848,0.132,0.17,,,,,,,,,,0.282,,,,,,0.0,0.723,0.316,,,0.000,3.7,,,,,,,,,,,,,,,0.393,0.085,0.019,0.434,0.019,0.62,0.019,,0.000,,,,0.169,,1.03,624,,0.293,,,,,,,,,,,,,0.814,0.000,0.67,0.782,0.5,,0.085,0.000,,1.18,,0.000,,,,,,,,,,0.113,209.0,1.2,0.305,2.94,0.047,,,,,,,0.045,1.47,18,0.136,0.000,3.7,,,,0.169,0.877,127.0,,,,,,,26.69,,,,,,,,,0.124,,0.076,,,,0.716,0.090,0.0,,,,,,,,,,6.15,
303,"""21244""","WENDY'S, Homestyle Chicken Fillet Sandwich",230.0,1.0 item,3.721,7.098,2.62,,,,0.0,,,0.536,,1.173,1.909,,,,,,0.0,5.428,2.438,0.005,,0.000,3.0,,,,,,,,,,,,,,,7.59,0.310,0.009,1.12,0.536,2.00,0.007,,0.000,0.039,,0.000,1.150,,0.34,2061,,0.028,,,,,,,,,,,,,0.299,0.000,0.76,6.718,24.6,,0.007,0.435,0.048,3.75,,0.000,,,,,,,,,,6.5,524.0,,1.564,18.63,0.301,,,,,,,0.345,37.03,71,0.621,0.053,56.1,,,,1.242,2.429,370.0,,,,,,,49.56,,,,,,,,,1.495,,0.002,,,,6.357,0.874,9.9,0.000,0.039,,,,,,,,0.0,
304,"""21242""","WENDY'S, Jr. Hamburger, with cheese",129.0,1.0 item,6.683,1.523,2.88,,,,0.084,,,0.157,,0.645,0.903,,,,,,0.0,3.199,1.187,0.046,,0.000,1.8,,,,,,,,,,,,,,,3.973,0.141,0.146,1.861,0.157,2.66,0.106,,0.000,0.026,,0.000,0.568,,0.19,1380,0.542,0.615,,,,0.059,62.0,,,,,0.045,,0.08,0.221,0.000,1.68,5.673,5.4,,0.124,1.233,0.005,3.11,,0.013,,,,0.441,851.0,0.134,,,,1.302,230.0,,1.161,14.84,0.486,,,,,,,0.168,21.41,46,0.335,0.028,28.3,,,,0.619,3.429,173.0,,,,,,,32.21,,,,,,1.242,,0.390,0.748,,0.107,,,,4.982,0.387,0.0,0.000,0.026,0.601,,,,,,,0.3,
305,"""21241""","WENDY'S, Jr. Hamburger, without cheese",117.0,1.0 item,4.055,1.306,3.11,,,,0.008,,,0.121,,0.536,0.723,,,,,,0.0,2.796,0.998,0.034,,0.000,2.0,,,,,,,,,,,,,,,4.548,0.137,0.105,1.293,0.121,2.84,0.081,,0.000,0.014,,0.000,0.480,,0.60,1190,0.270,0.271,,,,0.044,56.45,,,,,0.032,,0.043,0.275,0.000,1.49,4.131,5.3,,0.036,0.145,0.004,2.25,,0.012,,,,0.359,631.0,0.008,,,,1.147,205.0,,0.978,10.24,0.391,,,,,,,0.137,22.52,32,0.246,0.014,27.0,,,,0.497,2.256,125.0,,,,,,,33.29,,,,,,1.103,,0.405,0.661,,0.006,,,,3.583,0.331,0.0,0.000,0.014,0.315,,,,,,,0.0,
306,"""21245""","WENDY'S, Ultimate Chicken Grill Sandwich",225.0,1.0 item,2.317,4.072,4.05,,,,,,,,,,2.228,,,,,,0.0,5.513,2.768,,,0.000,2.5,,,,,,,,,,,,,,,9.36,0.169,0.000,0.63,0.427,4.21,0.0,,,,,,1.282,,0.34,1690,,0.022,,,,,,,,,,,,,0.585,0.000,0.74,3.285,20.0,,0.0,0.317,,3.87,,0.022,,,,,,,,,,3.6,497.0,,1.53,11.25,0.292,,,,,,,0.383,30.15,90,0.72,0.022,70.4,,,,1.395,1.643,378.0,,,,,,,42.48,,,,,,,,,1.71,,0.000,,,,2.925,0.945,1.8,,,,,,,,,,0.0,
307,"""21463""","Yogurt parfait, lowfat, with fruit and granola",149.0,1.0 item,0.782,0.182,,17.4,0.104,,0.021,,19,,,,,,,,,,,,,,,,1.6,,18,,,,,,,43,,0,,,,1.064,0.080,,0.115,0.024,,,,,,,,,,,523,,0.113,,,,,,,,,,,,,0.258,0.000,1.31,0.457,2.5,45,0.037,0.347,,1.19,,0.000,,,,,,,,,,0.158,282.0,,,,,,,,171.0,125.0,,,,,,,,57,,76,,,,0.86,17.7,,0.86,17.7,,23.63,,,0.0,6,,,,,,,,0.1,,25.0,0.407,,,,,,0.0,,21.3,,,,,
